,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,total coaching improved,csat,sin(csat),cos(csat),Tuesday_multiply_Thursday,Monday_multiply_Saturday,Sunday_multiply_Friday,Friday_multiply_Saturday,actualvalue_class
291,89.52428436279297,94.80110931396484,95.23857116699219,91.46857452392578,87.82543158907156,97.61856842041016,94.75727243487465,5.0,0.53981537,1.2957677,-0.5267329,8573.392902629834,9028.722196107847,8188.658675939252,8526.164927459904,1
224,100.0,97.14199829101562,100.0,89.16666412353516,97.14199829101562,97.61833190917969,100.0,2.0738395370390665,1.5495361,-0.51698613,-1.5508889,9482.83983149333,9714.199829101562,8916.666412353516,10000.0,1
199,88.89012584043037,85.70999908447266,94.43410142172304,95.8324966430664,100.0,90.83399963378906,87.5,3.0413601398413874,0.35724348,1.2419455,-0.120619714,9083.399963378906,8093.94674639888,8518.562686204794,8394.259159004925,0
3,91.46800231933594,91.87999725341797,100.0,91.11199951171875,84.60098791895068,96.66600036621094,93.79809154629518,0.036228903362589486,0.30594507,1.192156,0.0032904001,8178.039129155093,9187.999725341797,8333.832582657225,9146.800231933594,0
86,100.0,100.0,100.0,100.0,95.0,100.0,91.66600036621094,1.2129913879810263,-0.8802922,-1.3813668,0.7642964,9500.0,10000.0,10000.0,10000.0,0
31,90.0,95.49026558979811,100.0,93.39211590629658,94.4433364868164,100.0,100.0,1.0,0.30594507,1.192156,0.0032904001,9444.33364868164,9549.026558979811,8405.290431566693,9000.0,1
414,95.35713958740234,100.0,96.0,101.37064756740722,100.0,97.14286041259766,100.0,1.0,-0.80063164,-1.2773992,0.9531487,9714.286041259766,9600.0,9666.414990150617,9154.285400390625,1
173,100.0,96.6933364868164,100.0,96.65125274658203,100.0,95.78888702392578,92.06222534179688,3.0,1.2246035,0.19121994,-1.4305793,9578.888702392578,9669.33364868164,9665.125274658203,10000.0,0
245,95.94000244140625,94.4433364868164,97.55591260916863,91.64989063304114,93.75,95.83333587646484,100.0,1.0,-0.6598334,-1.0501403,1.2017752,8984.37523841858,9213.50588082617,8792.890731088582,9359.514493897253,1
56,97.4028549194336,93.65142822265625,98.0,94.3183364868164,94.51290836913186,94.59500122070312,97.99176085254439,1.0,0.5995162,1.2722254,-0.6441694,8940.448682550232,9177.839965820312,9186.875245067698,9545.479782104492,0
319,92.07857513427734,94.38714599609375,93.76770430541137,95.48713088663163,95.34874725341797,91.12110900878906,96.35375213623047,1.2786771339237157,-0.78455913,-1.2542771,0.9873633,8688.283592330175,8850.465995993412,8792.318955701285,8633.996606054523,1
